SolarW,HouseW,BattW,GridW,BattCharge,SolarF,HouseF,BattF,GridF
3359.2,1724.2,-1650,0.61,97.12,60.18,60.18,60.24,60.18
3348.4,1742.7,-1600,0.64,97.12,60.18,60.18,60.24,60.18
3339,1739.3,-1600,0.66,97.12,60.18,60.18,60.24,60.18
3346.2,1704.4,-1650,0.47,97.12,60.18,60.18,60.24,60.18
3350.4,1727.6,-1640,0.44,97.13,60.18,60.18,60.25,60.18
3334.5,1679.6,-1670,0.69,97.13,60.18,60.18,60.26,60.18
3350.4,1675.8,-1650,0.72,97.13,60.18,60.18,60.26,60.18
3347.2,1696.6,-1650,0.7,97.13,60.18,60.18,60.27,60.18
3345.5,1681.2,-1640,0.61,97.13,60.18,60.18,60.28,60.18
3336.9,1718.8,-1610,0.75,97.14, 60.3, 60.3,60.33, 60.3
3343.6,1708.9,-1610,0.61,97.14, 60.3, 60.3,60.34, 60.3
3366.2,1722,-1660,0.91,97.14, 60.3, 60.3,60.34, 60.3
3333.4,1696.8,-1640,0.42,97.14, 60.3, 60.3,60.34, 60.3
3355.5,1731.5,-1650,0.58,97.14, 60.3, 60.3,60.35, 60.3
3330.3,1700,-1630,0.69,97.14, 60.3, 60.3,60.35, 60.3
3361.3,1727.6,-1600,0.33,97.14, 60.3, 60.3,60.37, 60.3
3334.3,1745.6,-1600,0.55,97.14, 60.3, 60.3,60.37, 60.3
3368.6,1670.7,-1660,0.63,97.14,60.36,60.36,60.38,60.36
3326.7,1678.5,-1650,0.47,97.14,60.36,60.36,60.38,60.36
3358.5,1664.3,-1680,0.58,97.14,60.36,60.36,60.38,60.36
3329.9,1707.3,-1640,0.58,97.15,60.36,60.36,60.38,60.36
3370.4,1694,-1650,0.61,97.15,60.36,60.36,60.38,60.36
3330.5,1676.5,-1730,0.67,97.15,60.36,60.36,60.38,60.36
3371.7,1605.3,-1740,0.39,97.15,60.36,60.36,60.39,60.36
3325.4,1591.4,-1750,0.75,97.15,60.36,60.36, 60.4,60.36
3362.6,1628.6,-1750,0.53,97.15,60.36,60.36,60.41,60.36
3352.7,1610.4,-1700,0.48,97.15,60.36,60.36,60.41,60.36
3332.4,1675.5,-1680,0.48,97.15,60.36,60.36,60.42,60.36
3361.3,1690.1,-1640,0.52,97.15,60.36,60.36,60.42,60.36
3338.1,1698.3,-1660,0.61,97.15,60.36,60.36,60.42,60.36
3372.2,1673.8,-1680,0.63,97.15,60.36,60.36,60.43,60.36
